Tempo_s;Setpoint;Temperatura_C;Potencia_PWM;Erro_Absoluto;Status_Estabilidade
0,0;50,0;24,7;255,0;25,3;Instável
1,0;50,0;28,58;255,0;21,42;Instável
2,0;50,0;32,33;255,0;17,67;Instável
3,0;50,0;36,51;218,0;13,49;Instável
4,0;50,0;39,51;192,0;10,49;Instável
5,0;50,0;42,51;161,0;7,49;Instável
6,0;50,0;44,9;137,0;5,1;Instável
7,0;50,0;46,78;118,0;3,22;Instável
8,0;50,0;48,24;102,0;1,76;Instável
9,0;50,0;49,67;85,0;0,33;Estável
10,0;50,0;51,11;66,0;1,11;Estável
11,0;50,0;52,08;53,0;2,08;Instável
12,0;50,0;52,49;48,0;2,49;Instável
13,0;50,0;52,9;41,0;2,9;Instável
14,0;50,0;53,67;27,0;3,67;Instável
15,0;50,0;53,81;24,0;3,81;Instável
16,0;50,0;53,96;19,0;3,96;Instável
17,0;50,0;54,12;14,0;4,12;Instável
18,0;50,0;54,25;9,0;4,25;Instável
19,0;50,0;54,32;5,0;4,32;Instável
20,0;50,0;54,19;4,0;4,19;Instável
21,0;50,0;53,61;9,0;3,61;Instável
22,0;50,0;54,16;0,0;4,16;Instável
23,0;50,0;53,91;0,0;3,91;Instável
24,0;50,0;53,81;0,0;3,81;Instável
25,0;50,0;53,51;0,0;3,51;Instável
26,0;50,0;53,44;0,0;3,44;Instável
27,0;50,0;53,24;0,0;3,24;Instável
28,0;50,0;53,3;0,0;3,3;Instável
29,0;50,0;52,98;0,0;2,98;Instável
30,0;50,0;52,82;0,0;2,82;Instável
31,0;50,0;52,53;0,0;2,53;Instável
32,0;50,0;52,42;0,0;2,42;Instável
33,0;50,0;52,37;0,0;2,37;Instável
34,0;50,0;52,17;0,0;2,17;Instável
35,0;50,0;52,18;0,0;2,18;Instável
36,0;50,0;52,2;0,0;2,2;Instável
37,0;50,0;52,3;0,0;2,3;Instável
38,0;50,0;51,79;0,0;1,79;Instável
39,0;50,0;51,98;0,0;1,98;Instável
40,0;50,0;51,48;0,0;1,48;Estável
41,0;50,0;51,34;0,0;1,34;Estável
42,0;50,0;51,25;0,0;1,25;Estável
43,0;50,0;51,18;0,0;1,18;Estável
44,0;50,0;51,01;0,0;1,01;Estável
45,0;50,0;50,6;0,0;0,6;Estável
46,0;50,0;50,89;0,0;0,89;Estável
47,0;50,0;50,84;0,0;0,84;Estável
48,0;50,0;50,76;0,0;0,76;Estável
49,0;50,0;50,33;1,0;0,33;Estável
50,0;50,0;50,08;4,0;0,08;Estável
51,0;50,0;49,81;7,0;0,19;Estável
